Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-10-02,NP,NEPAL,HELLO,52,257517,0,5602
2022-10-03,NP,NEPAL,HELLO,21,257538,1,5603
2022-10-04,NP,NEPAL,HELLO,30,257568,0,5603
2022-10-05,NP,NEPAL,HELLO,0,257568,0,5603
2022-10-06,NP,NEPAL,HELLO,87,257655,1,5604
2022-10-07,NP,NEPAL,HELLO,0,257655,0,5604
2022-10-08,NP,NEPAL,HELLO,0,257655,0,5604
2022-10-09,NP,NEPAL,HELLO,0,257655,0,5604
2022-10-10,NP,NEPAL,HELLO,94,257749,0,5604
2022-10-11,NP,NEPAL,HELLO,0,257749,0,5604
2022-10-12,NP,NEPAL,HELLO,49,257798,0,5604
2022-10-13,NP,NEPAL,HELLO,29,257827,1,5605
2022-10-14,NP,NEPAL,HELLO,0,257827,0,5605
2022-10-15,NP,NEPAL,HELLO,0,257827,0,5605
2022-10-16,NP,NEPAL,HELLO,66,257893,1,5606
2022-10-17,NP,NEPAL,HELLO,12,257905,2,5608
2022-10-18,NP,NEPAL,HELLO,0,257905,0,5608
2022-10-19,NP,NEPAL,HELLO,0,257905,0,5608
2022-10-20,NP,NEPAL,HELLO,0,257905,0,5608
2022-10-21,NP,NEPAL,HELLO,0,257905,0,5608
2022-10-22,NP,NEPAL,HELLO,0,257905,0,5608
2022-10-23,NP,NEPAL,HELLO,0,257905,0,5608
2022-10-24,NP,NEPAL,HELLO,132,258037,2,5610
2022-10-25,NP,NEPAL,HELLO,0,258037,0,5610
2022-10-26,NP,NEPAL,HELLO,0,258037,0,5610
2022-10-27,NP,NEPAL,HELLO,0,258037,0,5610
2022-10-28,NP,NEPAL,HELLO,0,258037,0,5610
2022-10-29,NP,NEPAL,HELLO,0,258037,0,5610
2022-10-30,NP,NEPAL,HELLO,0,258037,0,5610
2022-10-31,NP,NEPAL,HELLO,132,258169,0,5610
2022-11-01,NP,NEPAL,HELLO,0,258169,0,5610
2022-11-02,NP,NEPAL,HELLO,0,258169,0,5610
2022-11-03,NP,NEPAL,HELLO,0,258169,0,5610
2022-11-04,NP,NEPAL,HELLO,0,258169,0,5610
2022-11-05,NP,NEPAL,HELLO,0,258169,0,5610
2022-11-06,NP,NEPAL,HELLO,0,258169,0,5610
2022-11-07,NP,NEPAL,HELLO,179,258348,0,5610
2022-11-08,NP,NEPAL,HELLO,0,258348,0,5610
2022-11-09,NP,NEPAL,HELLO,0,258348,0,5610
2022-11-10,NP,NEPAL,HELLO,0,258348,0,5610
2022-11-11,NP,NEPAL,HELLO,0,258348,0,5610
2022-11-12,NP,NEPAL,HELLO,0,258348,0,5610
2022-11-13,NP,NEPAL,HELLO,0,258348,0,5610
2022-11-14,NP,NEPAL,HELLO,295,258643,1,5611
2022-11-15,NP,NEPAL,HELLO,0,258643,0,5611
2022-11-16,NP,NEPAL,HELLO,0,258643,0,5611
2022-11-17,NP,NEPAL,HELLO,0,258643,0,5611
2022-11-18,NP,NEPAL,HELLO,0,258643,0,5611
2022-11-19,NP,NEPAL,HELLO,0,258643,0,5611
2022-11-20,NP,NEPAL,HELLO,0,258643,0,5611
2022-11-21,NP,NEPAL,HELLO,311,258954,5,5616
2022-11-22,NP,NEPAL,HELLO,0,258954,0,5616
2022-11-23,NP,NEPAL,HELLO,0,258954,0,5616
2022-11-24,NP,NEPAL,HELLO,0,258954,0,5616
2022-11-25,NP,NEPAL,HELLO,0,258954,0,5616
2022-11-26,NP,NEPAL,HELLO,0,258954,0,5616
2022-11-27,NP,NEPAL,HELLO,0,258954,0,5616
2022-11-28,NP,NEPAL,HELLO,210,259164,4,5620
2022-11-29,NP,NEPAL,HELLO,28,259192,0,5620
2022-11-30,NP,NEPAL,HELLO,26,259218,0,5620
2022-12-01,NP,NEPAL,HELLO,37,259255,1,5621
2022-12-02,NP,NEPAL,HELLO,30,259285,1,5622
2022-12-03,NP,NEPAL,HELLO,55,259340,0,5622
2022-12-04,NP,NEPAL,HELLO,10,259350,0,5622
2022-12-05,NP,NEPAL,HELLO,6,259356,0,5622
2022-12-06,NP,NEPAL,HELLO,0,259356,0,5622
2022-12-07,NP,NEPAL,HELLO,0,259356,0,5622
2022-12-08,NP,NEPAL,HELLO,0,259356,0,5622
2022-12-09,NP,NEPAL,HELLO,0,259356,0,5622
2022-12-10,NP,NEPAL,HELLO,0,259356,0,5622
2022-12-11,NP,NEPAL,HELLO,0,259356,0,5622
2022-12-12,NP,NEPAL,HELLO,203,259559,3,5625
2022-12-13,NP,NEPAL,HELLO,0,259559,0,5625
2022-12-14,NP,NEPAL,HELLO,0,259559,0,5625
2022-12-15,NP,NEPAL,HELLO,0,259559,0,5625
2022-12-16,NP,NEPAL,HELLO,0,259559,0,5625
2022-12-17,NP,NEPAL,HELLO,0,259559,0,5625
2022-12-18,NP,NEPAL,HELLO,0,259559,0,5625
2022-12-19,NP,NEPAL,HELLO,211,259770,6,5631
2022-12-20,NP,NEPAL,HELLO,0,259770,0,5631
2022-12-21,NP,NEPAL,HELLO,0,259770,0,5631
2022-12-22,NP,NEPAL,HELLO,0,259770,0,5631
2022-12-23,NP,NEPAL,HELLO,0,259770,0,5631
2022-12-24,NP,NEPAL,HELLO,0,259770,0,5631
2022-12-25,NP,NEPAL,HELLO,0,259770,0,5631
2022-12-26,NP,NEPAL,HELLO,177,259947,4,5635
2022-12-27,NP,NEPAL,HELLO,0,259947,0,5635
2022-12-28,NP,NEPAL,HELLO,0,259947,0,5635
2022-12-29,NP,NEPAL,HELLO,0,259947,0,5635
2022-12-30,NP,NEPAL,HELLO,0,259947,0,5635
2022-12-31,NP,NEPAL,HELLO,0,259947,0,5635
2023-01-01,NP,NEPAL,HELLO,0,259947,0,5635
2023-01-02,NP,NEPAL,HELLO,0,259947,0,5635
2023-01-03,NP,NEPAL,HELLO,0,259947,0,5635
2023-01-04,NP,NEPAL,HELLO,0,259947,0,5635
2023-01-05,NP,NEPAL,HELLO,0,259947,0,5635
2023-01-06,NP,NEPAL,HELLO,0,259947,0,5635
